ticker,company,sector,document_type,period,language,source_url,local_path,sha256,page_count,file_size,download_status
ASELS,Aselsan Elektronik Sanayi ve Ticaret A.Ş.,Savunma Sanayii,annual_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1445121,data/raw/ASELS/ASELS__annual_report__2025__tr__v1.pdf,eace2d6cba92569c6125a47b4dbe0c872806195a48442d23e7db1731686efbc7,3,91139,success
ASELS,Aselsan Elektronik Sanayi ve Ticaret A.Ş.,Savunma Sanayii,sustainability_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1492946,data/raw/ASELS/ASELS__sustainability_report__2025__tr__v1.pdf,bc4f0f109e1b32df4a7f71d5de7cf89de764ab7b969690f5eace0e00f11b2631,2,80477,success
ASELS,Aselsan Elektronik Sanayi ve Ticaret A.Ş.,Savunma Sanayii,investor_presentation,2026_Q1,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1445120,data/raw/ASELS/ASELS__investor_presentation__2026_Q1__tr__v1.pdf,e69ebb0c5d86484946c1b76d9319f098f10f9258943681475b743fa32159ff67,2,128416,success
THYAO,Türk Hava Yolları A.O.,Havacılık & Ulaştırma,annual_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1402120,data/raw/THYAO/THYAO__annual_report__2025__tr__v1.pdf,d63bb747629a67a3a759f96880bf3c795c639c3992f704cf886970abfdf76aab,4,174407,success
THYAO,Türk Hava Yolları A.O.,Havacılık & Ulaştırma,sustainability_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1402121,data/raw/THYAO/THYAO__sustainability_report__2025__tr__v1.pdf,65bc98ec33a9168f5871bc7f01ea77c2c7d8553895e4c7f29455fc91de772ea1,2,123674,success
THYAO,Türk Hava Yolları A.O.,Havacılık & Ulaştırma,investor_presentation,2026_Q1,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1402122,data/raw/THYAO/THYAO__investor_presentation__2026_Q1__tr__v1.pdf,589eb5f17974b61fc64fedf53818ba360e3a5316ce62d273c2027015698c4e43,3,126484,success
TUPRS,Türkiye Petrol Rafinerileri A.Ş.,Enerji & Petrol,annual_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1392651,data/raw/TUPRS/TUPRS__annual_report__2025__tr__v1.pdf,d65ad4fd2910bef4372293b960dfbceb3c10417cc3dc96fe1bba61c5002df9eb,2,122459,success
TUPRS,Türkiye Petrol Rafinerileri A.Ş.,Enerji & Petrol,sustainability_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1392652,data/raw/TUPRS/TUPRS__sustainability_report__2025__tr__v1.pdf,79b6eb9f6eabba01d45109de3070bdc194ff10afa97531060d10c1eb6e035755,2,122464,success
TUPRS,Türkiye Petrol Rafinerileri A.Ş.,Enerji & Petrol,investor_presentation,2026_Q1,tr,https://www.tupras.com.tr/assets/uploads/yatirimci-iliskileri/sunum/yatirimci-sunumu-mayis-2026.pdf,data/raw/TUPRS/TUPRS__investor_presentation__2026_Q1__tr__v1.pdf,ed725b8ffd25f2d2c8cc8a2af02493143fc66342e26133b7bffbec85c17beb4d,49,5702832,success
FROTO,Ford Otomotiv Sanayi A.Ş.,Otomotiv,annual_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1393820,data/raw/FROTO/FROTO__annual_report__2025__tr__v1.pdf,72ed8ee0954defafc75179a811f2d750af6d891d35a396c3fd6a582755daa951,2,123136,success
FROTO,Ford Otomotiv Sanayi A.Ş.,Otomotiv,sustainability_report,2025,tr,https://www.fordotosan.com.tr/documents/Surdurulebilirlik/ford-otosan-2025-surdurulebilirlik-raporu.pdf,data/raw/FROTO/FROTO__sustainability_report__2025__tr__v1.pdf,c6c42a53cc555c7f52ea93ed3fe3da97831a8bf457c2ca660cf9707b0ea040a8,337,15261568,success
FROTO,Ford Otomotiv Sanayi A.Ş.,Otomotiv,investor_presentation,2026_Q1,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1393821,data/raw/FROTO/FROTO__investor_presentation__2026_Q1__tr__v1.pdf,36c31c0c1f19399f877c94305935aacabcfab5d802fcb6b8ab7c5ff97fc7ab2b,14,393902,success
ARCLK,Arçelik A.Ş.,Dayanıklı Tüketim,annual_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1388910,data/raw/ARCLK/ARCLK__annual_report__2025__tr__v1.pdf,f3f085ed2358479077efd14c50130d18e5a297c7155c1ae60923b6f297dbede7,2,122806,success
ARCLK,Arçelik A.Ş.,Dayanıklı Tüketim,sustainability_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1388911,data/raw/ARCLK/ARCLK__sustainability_report__2025__tr__v1.pdf,43a3e6e304761bae3a793ae996a7b7bea416609b1b5153f88a709aa73b9b0986,3,131598,success
ARCLK,Arçelik A.Ş.,Dayanıklı Tüketim,investor_presentation,2026_Q1,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1388912,data/raw/ARCLK/ARCLK__investor_presentation__2026_Q1__tr__v1.pdf,d114b7313590fd23b795211e940b9b3a4e0e222c04cc632227aedbd1bd57b77d,2,124829,success
TCELL,Turkcell İletişim Hizmetleri A.Ş.,Telekomünikasyon,annual_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1402910,data/raw/TCELL/TCELL__annual_report__2025__tr__v1.pdf,313c7a45f01b2c4ea49dadc975ebe27fe654ef82f9ec9bfc5e625abf4f2dac0c,2,125936,success
TCELL,Turkcell İletişim Hizmetleri A.Ş.,Telekomünikasyon,sustainability_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1402911,data/raw/TCELL/TCELL__sustainability_report__2025__tr__v1.pdf,de161c7eaf6bd66a2e4fa7f1e735df6a7638871b02df961e7ed27dc0725076b6,2,122759,success
TCELL,Turkcell İletişim Hizmetleri A.Ş.,Telekomünikasyon,investor_presentation,2026_Q1,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1402912,data/raw/TCELL/TCELL__investor_presentation__2026_Q1__tr__v1.pdf,c6ba102e91f79bcd8ae3b5db3af35b5c042fc42028fd004e979ab0f5077e2448,2,121811,success
